b3s23
b02567s014678		239333
b014568s0123678		237427
b378s02458		158600
b012367s04678		238287
b3478s0278		199576
b38s0245		27400
b134568s13678		234874
b4567s34678	?	241904
b1468s034678	*	242514
b012458s234678		244023
b23478s1234678	L	245148
b356s24		10344
b012458s1234678	*	245047
b02356s4678		237677
b358s0145		26408
b23456s123678	*	236668
b02367s0124678		241357
b358s0347		78632
b1346s0134678		243290
b01458s1234678	H	245043
b37s0135	*	22152
b38s02456	*?	60168
b3578s128		134568
b2578s1234678	G	245156
b345678s013678		235512
b02346s1234678		244829
b378s245		27016
b367s2458		157896
b034578s23678		235961
b357s14578		222376
b3478s1567		116120
b012357s24678		239791
b368s24578	G	223560
b234578s013678		235452
b347s0378	*	201368
b0367s034678		242377
b0134578s123678		236987
b3678s2378	LE	203208
b358s024		11048
b3567s128	F	134376
b3s1356		54280
b346s038		135768
b3468s0124678	GF	241496
b38s12568	G	183560
b3578s136	F	38312
b3568s1467	F	107880
b34678s28	F	133592
b368s238	LV	137544
b347s017	F	67224
b02578s034678		242597
b0468s34678	Gepp	242001
b356s0348		143976
b2357s124678		240812
b12458s234678		244022
b013458s24678	*G	239931
b3468s02		2904
b12468s0124678	Sl	241494
b3678s0134678		243656
b35s01458	M	157224
b0457s024678		240305
b3467s02		2776
b368s024578	GSl	224072
b0123478s14678	LE	239007
b36s238	LV	137288
b23458s014678		239420
b367s23	LE	6344
b123457s03678	F	234174
b367s01367		104136
b3678s23	*LE	6600
b23678s124678	*Gs	241100
b134578s23678		235962
b03678s34678	Sched	242121
b0134678s023678		236507
b3458s2	F	2360
b0123467s013678		235231
b02578s134678	*Gs	243109
b367s03468	GF	176840
b234678s013678		235484
b123578s04678		238510
b378s024578		224136
b2457s04678	F	238260
b034678s023678	F	236505
b1234568s012678		233342
b0468s0134678	*	243537
b23457s023678	F	236220
