b3s23
b02567s014678		239333
b014568s0123678		237427
b378s02458		158600
b012367s04678		238287
b3478s0278		199576
b38s0245		27400
b134568s13678		234874
b4567s34678	?	241904
b1468s034678	*	242514
b012458s234678		244023
b23478s1234678	L	245148
b356s24		10344
b012458s1234678	*	245047
b02356s4678		237677
b358s0145		26408
b23456s123678	*	236668
b02367s0124678	G	241357
b358s0347	G	78632
b1346s0134678		243290
b01458s1234678	H	245043
b37s0135	*	22152
b38s02456	*?	60168
b3578s128		134568
b02678s0123678		237509
b0278s0125678	*?B	249733
b01567s01258		151267
b03478s01234678	Le	245657
b017s1346		46211
b058s0123458	?c	163617
b167s013568		186050
b145s014568		190002
b367s0238	eL	137928
b01236s017	?	67151
b128s124		11526
b012368s123456		64847
b145s0123457		97842
b14568s68	tG	164210
b3s236	LE	38920
b12378s023478		211854
b245678s02678		232436
b16s01367		104002
b056s05678		246369
b0245678s012678		233461
b01278s1256		52615
b34578s568	?	180664
b012467s1345	G	29911
b123s012358	*	155150
b0124578s1245		28087
b014567s157	*	83187
b14567s567	?	114930
b145s12345	?	31794
b057s35678		250017
b013478s012		3995
b01347s023		6811
b0123678s1236		40399
b01234s016		34335
b012345s01247		77375
b012456s0123456		65143
b01367s0		715
b46s23567		120912
b0123468s3456		61791
b238s12358		154892
b0127s126	*	35975
b01356s0234	*	14955
b0157s2		2211
b012345678s012356	*	57343
b237s01234	?	16012
b013678s3		4555
b1234567s0134567		128766
b478s2346		47504
b45678s3567	-	119280
b01568s0125678	-	249699
b456s23578	-	219248
b4568s123678	-	236912
b46s024568	-	191056
b456s014578		222832
b45678s01267	-	102384
b3s23
b2578s1234678	G	245156
b345678s013678		235512
b02346s1234678		244829
b378s245		27016
b01467s	G	211
b01278s026	D	35719
b01267s07	D	66247
b3458s014678	Ge	239416
b056s036		37473
b01456s0123456	?	65139
b0247s012345		32405
b0123s348	D	143375
b0134s0235	G	23067
b01347s124		11419
b027s1		1157
b0234s1234678		244765
b145678s048	Gt	140274
b2456s168	*t	164980
b01348s034	G	13083
b01246s134	S	13399
b0378s1238	Rt	138633
b013456s01234	*	15995
b0124s23467	Gt	112663
b458s02456		60208
b015s23458	tS	161827
b034567s12678		232697
b3s23
b367s2458		157896
b034578s23678		235961
b357s14578		222376
b3478s1567		116120
b012357s24678		239791
b368s24578	G	223560
b234578s013678		235452
b347s0378	*	201368
b0367s034678		242377
b0134578s123678		236987
b3678s2378	LE	203208
b358s024		11048
b3567s128	F	134376
b3s1356		54280
b346s038		135768
b3468s0124678	GF	241496
b38s12568	G	183560
b3578s136	F	38312
b3568s1467	F	107880
b34678s28	F	133592
b368s238	LV	137544
b347s017	F	67224
b02578s034678		242597
b0468s34678	Gepp	242001
b356s0348		143976
b2357s124678		240812
b12458s234678		244022
b013458s24678	*G	239931
b3468s02		2904
b12468s0124678	Sl	241494
b3678s0134678		243656
b35s01458	M	157224
b0457s024678		240305
b3467s02		2776
b368s024578	GSl	224072
b0123478s14678	LE	239007
b36s238	LV	137288
b23458s014678		239420
b367s23	LE	6344
b123457s03678	F	234174
b367s01367		104136
b3678s23	*LE	6600
b0126s134	N	13383
b4567s4678	N	237808
b1278s1247	T	77190
b01234568s012357		89983
b014567s1578	T	214259
b378s0135678	*FE	251784
b268s1235678	Think	253252
b123s1235678	Si	252942
b0124678s134	N	13783
b017s4	N	8323
b234s23467	Rt	112668
b0234s023467	*Td	113181
b012478s135		21911
b35s4568	*B	188456
b24568s7	*Rt	65908
b0134568s023		7035
b0124567s0123456		65271
b013458s2	PE	2363
b013468s1		1371
b012347s25	N	18591
b01237s01256		52879
b345678s0568	Gro	181240
b02358s0123	GSli	7981
b01268s0125	N	20295
b012358s245	N	26927
b012678s34	*N	12743
b012358s01346	G	46895
b0135s0	Gr	555
b01345s234	*N	14395
b0127s126	G	35975
b0123467s1246	Gs	44255
b28s12457		93444
b12s12478	Eb	207878
b012345678s125	N	19967
b01234678s234567	?S	129503
b1234s123468	Gt	179230
b012345s2346	R	47167
b34s0123468		179736
b01234568s35	N	20863
b0158s012345	?	32547
b01257s34	*N	12455
b013458s123	N	7483
b38s01235	PF	24328
b0123457s2347	d	80063
b012357s3456	N	61615
b01236s01237	GS	73295
b123s123567	NF	121870
b012367s0127	GS	69327
b038s012		3849
b012368s0236	Gs	39759
b01234578s0126	GE	36799
b01358s0	Gr	811
b01234s0123468	Gt	179743
b012345s246	R	43071
b1234s0123468	Gt	179742
b38s45678	F	254216
b024s1234	F	15381
b28s1248	Eb	142596
b01347s134	Gs	13467
b0123458s01247	RE	77631
b158s123458	Si	163106
b0123457s126	PE	36031
b0128s1256	Rt	52487
b0147s1	R	1171
b01357s123	R	7339
b01234s123467	?BT	113695
b0123456s02347	dN	80511
b012478s0135	Gs	22423
b3678s34678	F	242120
b01234s045	N	25119
b0135s0134	g	13867
b0123578s015		18351
b0124578s123	N	7607
b012368s126		36175
b013478s1	GF	1435
b01678s13	GF	5571
b013468s23	G	6491
b012346s02346	G	47711
b0123457s015	W	18111
b01346s13	GL	5211
b012358s0126	G	36655
b012457s01345	G	30391
b012s5	G	16391
b0123s016	LP	34319
b012456s0123456	O	65143
b0124568s24		10615
b0138s4	G	8459
b0134s014	G	9755
b013468s123	G	7515
b013478s12	G	3483
b013478s1	G	1435
b0125s0125	G	20007
b012345s236	R	38975
b3s23
b23678s124678	*Gs	241100
b134578s23678		235962
b03678s34678	Sched	242121
b0134678s023678		236507
b3458s2	F	2360
b0123467s013678		235231
b02578s134678	*Gs	243109
b367s03468	GF	176840
b234678s013678		235484
b123578s04678		238510
b378s024578		224136
b2457s04678	F	238260
b034678s023678	F	236505
b1234568s012678		233342
b0468s0134678	*	243537
b23457s023678	F	236220
b01357s013	RETypical	5803
b02348s0123468	Gt	179997
b01478s	Typical	403
b01348s134	GPs	13595
b013678s03	*Gs	5067
b01348s014	Gs	10011
b0125678s04	G	9191
b01678s013	RF	6083
b0123678s013456	Gr	63439
b013478s2		2459
b01478s1	PE	1427
b012346s02356	RE	55903
b01367s01	RE	1739
b02378s012		3981
b013456s12	E	3195
b0136s0		587
b01678s12	FTypical	3523
b0123458s023457	GE	97087
b0278s012	G	3973
b01478s13		5523
b012367s123456	Surf	64719
b0123468s2346	Ps	47455
b012456s235	Gs	22647
b018s034	?N	13059
b0124567s12345	G	31991
b01238s01237	N	73487
b0238s123	Gs	7437
b012358s0236	RE	39727
b01348s14	Gs	9499
b01234568s236	RF	39295
b013478s013	RE	6043
b01345s124	Gs	11323
b0123567s023456	N	64239
b01234s2346	RE	47135
b0123568s1236	Gs	40303
b08s018	Wow	132865
b02567s014678		239333
b014568s0123678		237427
b378s02458		158600
b012367s04678		238287
b3478s0278		199576
b38s0245		27400
b134568s13678		234874
b4567s34678	?	241904
b1468s034678	*	242514
b012458s234678		244023
b367s03467	Sl	111304
b23478s1234678	L	245148
b356s24		10344
b012458s1234678	*	245047
b02356s4678		237677
b0123457s03678		234175
b358s0145		26408
b023458s4678		237885
b23456s123678	*	236668
b02367s0124678	G	241357
b358s0347	G	78632
b1346s0134678		243290
b01458s1234678	H	245043
b23467s123678	F	236764
b37s0135	*	22152
b38s02456	*?	60168
b357s024	F	10920
b38s02457	G	92936
b3578s128		134568
b368s03468	F	176968
b02578s34678		242085
b3468s03	*G	4952
b13578s24678		240042
b3567s1378	F	201960
b3467s4		8408
b02678s0123678		237509
b0278s0125678	*?B	249733
b01368s0124	G	12107
b4567s0134567	?B	128752
b4568s03456	Wow	62320
b012346s03456	PF	62047
b1456s05	Gt	17010
b012347s02347	G	80543
b01567s01258		151267
b03478s01234678	Le	245657
b017s1346		46211
b058s0123458	?c	163617
b167s013568		186050
b145s014568		190002
b367s0238	eL	137928
b01236s017	?	67151
b128s124		11526
b012368s123456		64847
b145s0123457		97842
b14568s68	tG	164210
b3s236	LE	38920
b12378s023478		211854
b245678s02678		232436
b16s01367		104002
b056s05678		246369
b0245678s012678		233461
b01278s1256		52615
b34578s568	?	180664
b012467s1345	G	29911
b123s012358	*	155150
b0124578s1245		28087
b014567s157	*	83187
b14567s567	?	114930
b145s12345	?	31794
b057s35678		250017
b013478s012		3995
b01347s023		6811
b0123678s1236		40399
b01234s016		34335
b012345s01247		77375
b012456s0123456		65143
b01367s0		715
b46s23567		120912
b0123468s3456		61791
b238s12358		154892
b0127s126	*	35975
b01356s0234	*	14955
b0157s2		2211
b012345678s012356	*	57343
b237s01234	?	16012
b013678s3		4555
b1234567s0134567		128766
b478s2346		47504
b45678s3567	-	119280
b01568s0125678	-	249699
b456s23578	-	219248
b4568s123678	-	236912
b46s024568	-	191056
b456s014578		222832
b45678s01267	-	102384
